locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDNALJOL_00644	gene	432				
CDNALJOL_00644	CDS	432				hypothetical protein
CDNALJOL_00645	gene	207				
CDNALJOL_00645	CDS	207				hypothetical protein
CDNALJOL_00646	gene	333				
CDNALJOL_00646	CDS	333				hypothetical protein
CDNALJOL_00647	gene	531				
CDNALJOL_00647	CDS	531				hypothetical protein
CDNALJOL_00648	gene	201				
CDNALJOL_00648	CDS	201				hypothetical protein
CDNALJOL_00649	gene	234				
CDNALJOL_00649	CDS	234				hypothetical protein
CDNALJOL_00650	gene	132				
CDNALJOL_00650	CDS	132				hypothetical protein
CDNALJOL_00651	gene	720				
CDNALJOL_00651	CDS	720				hypothetical protein
CDNALJOL_00652	gene	339				
CDNALJOL_00652	CDS	339				Ferredoxin, 2Fe-2S
CDNALJOL_00653	gene	996	thrB			
CDNALJOL_00653	CDS	996	thrB	2.7.1.39		Homoserine kinase
CDNALJOL_00654	gene	1107	pyrD			
CDNALJOL_00654	CDS	1107	pyrD	1.3.-.-		Dihydroorotate dehydrogenase
CDNALJOL_00655	gene	1437	dop_1			
CDNALJOL_00655	CDS	1437	dop_1	3.4.-.-		Pup deamidase/depupylase
CDNALJOL_00656	gene	756	prcA_1			
CDNALJOL_00656	CDS	756	prcA_1			Proteasome subunit alpha
CDNALJOL_00657	gene	798	prcB_1			
CDNALJOL_00657	CDS	798	prcB_1	3.4.25.1	COG0638	Proteasome subunit beta
CDNALJOL_00658	gene	195	ubact			
CDNALJOL_00658	CDS	195	ubact			Prokaryotic ubiquitin-like protein UBact
CDNALJOL_00659	gene	1536	dop_2			
CDNALJOL_00659	CDS	1536	dop_2	3.4.-.-		Depupylase
CDNALJOL_00660	gene	1728	mpa			
CDNALJOL_00660	CDS	1728	mpa		COG0464	Proteasome-associated ATPase
CDNALJOL_00661	gene	768	dcd			
CDNALJOL_00661	CDS	768	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
CDNALJOL_00662	gene	357				
CDNALJOL_00662	CDS	357				hypothetical protein
CDNALJOL_00663	gene	750	bluB			
CDNALJOL_00663	CDS	750	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
CDNALJOL_00664	gene	1152	kamA			
CDNALJOL_00664	CDS	1152	kamA	5.4.3.2		L-lysine 2,3-aminomutase
CDNALJOL_00665	gene	1560				
CDNALJOL_00665	CDS	1560				hypothetical protein
CDNALJOL_00666	gene	810	ccsA_1			
CDNALJOL_00666	CDS	810	ccsA_1			Cytochrome c biogenesis protein CcsA
CDNALJOL_00667	gene	1359	hemA			
CDNALJOL_00667	CDS	1359	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
CDNALJOL_00668	gene	945	hemC			
CDNALJOL_00668	CDS	945	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
CDNALJOL_00669	gene	1542	cysG_1			
CDNALJOL_00669	CDS	1542	cysG_1	4.99.1.4		Siroheme synthase
CDNALJOL_00670	gene	981	hemB			
CDNALJOL_00670	CDS	981	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
CDNALJOL_00671	gene	960	ribF			
CDNALJOL_00671	CDS	960	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
CDNALJOL_00672	gene	1545	tilS			
CDNALJOL_00672	CDS	1545	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
CDNALJOL_00673	gene	531	hpt			
CDNALJOL_00673	CDS	531	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
CDNALJOL_00674	gene	1800	ftsH			
CDNALJOL_00674	CDS	1800	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
CDNALJOL_00675	gene	852	folP			
CDNALJOL_00675	CDS	852	folP	2.5.1.15	COG0294	Dihydropteroate synthase
CDNALJOL_00676	gene	882	cdaA			
CDNALJOL_00676	CDS	882	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
CDNALJOL_00677	gene	708				
CDNALJOL_00677	CDS	708				hypothetical protein
CDNALJOL_00678	gene	76				
CDNALJOL_00678	tRNA	76				tRNA-Asn(gtt)
CDNALJOL_00679	gene	1173				
CDNALJOL_00679	CDS	1173				hypothetical protein
CDNALJOL_00680	gene	567	yecD			
CDNALJOL_00680	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
CDNALJOL_00681	gene	660				
CDNALJOL_00681	CDS	660				hypothetical protein
CDNALJOL_00682	gene	1794	nhaK			
CDNALJOL_00682	CDS	1794	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
CDNALJOL_00683	gene	645				
CDNALJOL_00683	CDS	645				hypothetical protein
CDNALJOL_00684	gene	1161				
CDNALJOL_00684	CDS	1161				hypothetical protein
CDNALJOL_00685	gene	723				
CDNALJOL_00685	CDS	723				hypothetical protein
CDNALJOL_00686	gene	2049	aaeB			
CDNALJOL_00686	CDS	2049	aaeB			p-hydroxybenzoic acid efflux pump subunit AaeB
CDNALJOL_00687	gene	207				
CDNALJOL_00687	CDS	207				hypothetical protein
CDNALJOL_00688	gene	900	aaeA			
CDNALJOL_00688	CDS	900	aaeA		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
CDNALJOL_00689	gene	831				
CDNALJOL_00689	CDS	831				hypothetical protein
CDNALJOL_00690	gene	414				
CDNALJOL_00690	CDS	414				hypothetical protein
CDNALJOL_00691	gene	1149	phrA			
CDNALJOL_00691	CDS	1149	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
CDNALJOL_00692	gene	1266				
CDNALJOL_00692	CDS	1266				hypothetical protein
CDNALJOL_00693	gene	906				
CDNALJOL_00693	CDS	906				hypothetical protein
CDNALJOL_00694	gene	615				
CDNALJOL_00694	CDS	615				hypothetical protein
CDNALJOL_00695	gene	75				
CDNALJOL_00695	tRNA	75				tRNA-Gly(gcc)
CDNALJOL_00696	gene	723				
CDNALJOL_00696	CDS	723				hypothetical protein
CDNALJOL_00697	gene	360				
CDNALJOL_00697	CDS	360				hypothetical protein
CDNALJOL_00698	gene	324				
CDNALJOL_00698	CDS	324				hypothetical protein
CDNALJOL_00699	gene	1368				
CDNALJOL_00699	CDS	1368				hypothetical protein
CDNALJOL_00700	gene	804				
CDNALJOL_00700	CDS	804				hypothetical protein
CDNALJOL_00701	gene	981				
CDNALJOL_00701	CDS	981				IS1595 family transposase ISLsp6
CDNALJOL_00702	gene	333				
CDNALJOL_00702	CDS	333				hypothetical protein
CDNALJOL_00703	gene	300				
CDNALJOL_00703	CDS	300				hypothetical protein
CDNALJOL_00704	gene	228				
CDNALJOL_00704	CDS	228				hypothetical protein
CDNALJOL_00705	gene	777				
CDNALJOL_00705	CDS	777				hypothetical protein
CDNALJOL_00706	gene	444				
CDNALJOL_00706	CDS	444				hypothetical protein
CDNALJOL_00707	gene	246				
CDNALJOL_00707	CDS	246				hypothetical protein
CDNALJOL_00708	gene	177				
CDNALJOL_00708	CDS	177				hypothetical protein
CDNALJOL_00709	gene	798	traD			
CDNALJOL_00709	CDS	798	traD			Coupling protein TraD
CDNALJOL_00710	gene	195				
CDNALJOL_00710	CDS	195				hypothetical protein
CDNALJOL_00711	gene	3144	recD_1			
CDNALJOL_00711	CDS	3144	recD_1	3.1.11.5		RecBCD enzyme subunit RecD
CDNALJOL_00712	gene	354				
CDNALJOL_00712	CDS	354				hypothetical protein
CDNALJOL_00713	gene	180				
CDNALJOL_00713	CDS	180				hypothetical protein
CDNALJOL_00714	gene	1017				
CDNALJOL_00714	CDS	1017				hypothetical protein
CDNALJOL_00715	gene	1191	czcA_2			
CDNALJOL_00715	CDS	1191	czcA_2			Cobalt-zinc-cadmium resistance protein CzcA
CDNALJOL_00716	gene	1878	czcA_3			
CDNALJOL_00716	CDS	1878	czcA_3			Cobalt-zinc-cadmium resistance protein CzcA
CDNALJOL_00717	gene	984	mdtA_2			
CDNALJOL_00717	CDS	984	mdtA_2			Multidrug resistance protein MdtA
CDNALJOL_00718	gene	1236	czcC			
CDNALJOL_00718	CDS	1236	czcC			Cobalt-zinc-cadmium resistance protein CzcC
CDNALJOL_00719	gene	228				
CDNALJOL_00719	CDS	228				hypothetical protein
CDNALJOL_00720	gene	384				
CDNALJOL_00720	CDS	384				hypothetical protein
CDNALJOL_00721	gene	306	ziaR			
CDNALJOL_00721	CDS	306	ziaR			Transcriptional repressor SmtB 
CDNALJOL_00722	gene	1065	czcD			
CDNALJOL_00722	CDS	1065	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
CDNALJOL_00723	gene	357				
CDNALJOL_00723	CDS	357				hypothetical protein
CDNALJOL_00724	gene	606				
CDNALJOL_00724	CDS	606				hypothetical protein
CDNALJOL_00725	gene	462				
CDNALJOL_00725	CDS	462				hypothetical protein
CDNALJOL_00726	gene	390				
CDNALJOL_00726	CDS	390				hypothetical protein
CDNALJOL_00727	gene	285				
CDNALJOL_00727	CDS	285				hypothetical protein
CDNALJOL_00728	gene	306				
CDNALJOL_00728	CDS	306				hypothetical protein
CDNALJOL_00729	gene	2319	silP			
CDNALJOL_00729	CDS	2319	silP	7.2.2.15		Silver exporting P-type ATPase
CDNALJOL_00730	gene	435				
CDNALJOL_00730	CDS	435				hypothetical protein
CDNALJOL_00731	gene	123				
CDNALJOL_00731	CDS	123				hypothetical protein
CDNALJOL_00732	gene	294				
CDNALJOL_00732	CDS	294				hypothetical protein
CDNALJOL_00733	gene	336				
CDNALJOL_00733	CDS	336				hypothetical protein
CDNALJOL_00734	gene	129				
CDNALJOL_00734	CDS	129				hypothetical protein
CDNALJOL_00735	gene	303				
CDNALJOL_00735	CDS	303				hypothetical protein
CDNALJOL_00736	gene	222				
CDNALJOL_00736	CDS	222				hypothetical protein
CDNALJOL_00737	gene	1032	xerC_2			
CDNALJOL_00737	CDS	1032	xerC_2			Tyrosine recombinase XerC
CDNALJOL_00738	gene	717				
CDNALJOL_00738	CDS	717				hypothetical protein
CDNALJOL_00739	gene	2925	btuB			
CDNALJOL_00739	CDS	2925	btuB			Vitamin B12 transporter BtuB
CDNALJOL_00740	gene	705	tolQ_2			
CDNALJOL_00740	CDS	705	tolQ_2			Tol-Pal system protein TolQ
CDNALJOL_00741	gene	420	tolR_2			
CDNALJOL_00741	CDS	420	tolR_2			Tol-Pal system protein TolR
CDNALJOL_00742	gene	651				
CDNALJOL_00742	CDS	651				hypothetical protein
CDNALJOL_00743	gene	435				
CDNALJOL_00743	CDS	435				hypothetical protein
CDNALJOL_00744	gene	1098				
CDNALJOL_00744	CDS	1098				hypothetical protein
CDNALJOL_00745	gene	1095				
CDNALJOL_00745	CDS	1095				hypothetical protein
CDNALJOL_00746	gene	1113	recD_2			
CDNALJOL_00746	CDS	1113	recD_2	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
CDNALJOL_00747	gene	579	recD_3			
CDNALJOL_00747	CDS	579	recD_3	3.1.11.5		RecBCD enzyme subunit RecD
CDNALJOL_00748	gene	243				
CDNALJOL_00748	CDS	243				hypothetical protein
CDNALJOL_00749	gene	2883	recB			
CDNALJOL_00749	CDS	2883	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
CDNALJOL_00750	gene	3195	recC			
CDNALJOL_00750	CDS	3195	recC	3.1.11.5		RecBCD enzyme subunit RecC
CDNALJOL_00751	gene	1005	adh			
CDNALJOL_00751	CDS	1005	adh	1.1.1.1		Alcohol dehydrogenase
CDNALJOL_00752	gene	546				
CDNALJOL_00752	CDS	546				hypothetical protein
CDNALJOL_00753	gene	1503	oprM			
CDNALJOL_00753	CDS	1503	oprM		COG1538	Outer membrane protein OprM
CDNALJOL_00754	gene	3129	bepE			
CDNALJOL_00754	CDS	3129	bepE			Efflux pump membrane transporter BepE
CDNALJOL_00755	gene	699	mexA			
CDNALJOL_00755	CDS	699	mexA			Multidrug resistance protein MexA
CDNALJOL_00756	gene	468	mdtA_3			
CDNALJOL_00756	CDS	468	mdtA_3			Multidrug resistance protein MdtA
CDNALJOL_00757	gene	1230				
CDNALJOL_00757	CDS	1230				hypothetical protein
CDNALJOL_00758	gene	834				
CDNALJOL_00758	CDS	834				hypothetical protein
CDNALJOL_00759	gene	861				
CDNALJOL_00759	CDS	861				hypothetical protein
CDNALJOL_00760	gene	102				
CDNALJOL_00760	CDS	102				hypothetical protein
CDNALJOL_00761	gene	76				
CDNALJOL_00761	tRNA	76				tRNA-Lys(ctt)
CDNALJOL_00762	gene	1884	rsxC			
CDNALJOL_00762	CDS	1884	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
CDNALJOL_00763	gene	624				
CDNALJOL_00763	CDS	624				hypothetical protein
CDNALJOL_00764	gene	1296				
CDNALJOL_00764	CDS	1296				hypothetical protein
CDNALJOL_00765	gene	1449				
CDNALJOL_00765	CDS	1449				hypothetical protein
CDNALJOL_00766	gene	795	glmM_1			
CDNALJOL_00766	CDS	795	glmM_1	5.4.2.10		Phosphoglucosamine mutase
CDNALJOL_00767	gene	618	glmM_2			
CDNALJOL_00767	CDS	618	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
CDNALJOL_00768	gene	444	ywnA			
CDNALJOL_00768	CDS	444	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
CDNALJOL_00769	gene	594	nemA_1			
CDNALJOL_00769	CDS	594	nemA_1	1.3.1.-	COG1902	N-ethylmaleimide reductase
CDNALJOL_00770	gene	510	nemA_2			
CDNALJOL_00770	CDS	510	nemA_2	1.3.1.-	COG1902	N-ethylmaleimide reductase
CDNALJOL_00771	gene	879				
CDNALJOL_00771	CDS	879				hypothetical protein
CDNALJOL_00772	gene	1566	pal_2			
CDNALJOL_00772	CDS	1566	pal_2			Peptidoglycan-associated lipoprotein
CDNALJOL_00773	gene	1275				
CDNALJOL_00773	CDS	1275				hypothetical protein
CDNALJOL_00774	gene	381				
CDNALJOL_00774	CDS	381				hypothetical protein
CDNALJOL_00775	gene	741				
CDNALJOL_00775	CDS	741				hypothetical protein
CDNALJOL_00776	gene	840				
CDNALJOL_00776	CDS	840				hypothetical protein
CDNALJOL_00777	gene	366				
CDNALJOL_00777	CDS	366				hypothetical protein
CDNALJOL_00778	gene	513				
CDNALJOL_00778	CDS	513				hypothetical protein
CDNALJOL_00779	gene	1392	norR_2			
CDNALJOL_00779	CDS	1392	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
CDNALJOL_00780	gene	558				
CDNALJOL_00780	CDS	558				hypothetical protein
CDNALJOL_00781	gene	441				
CDNALJOL_00781	CDS	441				hypothetical protein
CDNALJOL_00782	gene	342				
CDNALJOL_00782	CDS	342				hypothetical protein
CDNALJOL_00783	gene	1284	eno			
CDNALJOL_00783	CDS	1284	eno	4.2.1.11	COG0148	Enolase
CDNALJOL_00784	gene	501				
CDNALJOL_00784	CDS	501				hypothetical protein
CDNALJOL_00785	gene	684				
CDNALJOL_00785	CDS	684				hypothetical protein
CDNALJOL_00786	gene	1473	gatB			
CDNALJOL_00786	CDS	1473	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
CDNALJOL_00787	gene	1479	gatA			
CDNALJOL_00787	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
CDNALJOL_00788	gene	366	panD			
CDNALJOL_00788	CDS	366	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
CDNALJOL_00789	gene	447	GATC			
CDNALJOL_00789	CDS	447	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
CDNALJOL_00790	gene	2241	pcrA_2			
CDNALJOL_00790	CDS	2241	pcrA_2	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
CDNALJOL_00791	gene	762	tolB_1			
CDNALJOL_00791	CDS	762	tolB_1			Tol-Pal system protein TolB
CDNALJOL_00792	gene	528				
CDNALJOL_00792	CDS	528				hypothetical protein
CDNALJOL_00793	gene	1818	glmS_1			
CDNALJOL_00793	CDS	1818	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
CDNALJOL_00794	gene	1410	glmU			
CDNALJOL_00794	CDS	1410	glmU			Bifunctional protein GlmU
CDNALJOL_00795	gene	669				
CDNALJOL_00795	CDS	669				hypothetical protein
CDNALJOL_00796	gene	858				
CDNALJOL_00796	CDS	858				hypothetical protein
CDNALJOL_00797	gene	441	cadI			
CDNALJOL_00797	CDS	441	cadI		COG0346	Cadmium-induced protein CadI
CDNALJOL_00798	gene	354				
CDNALJOL_00798	CDS	354				hypothetical protein
CDNALJOL_00799	gene	246				
CDNALJOL_00799	CDS	246				hypothetical protein
CDNALJOL_00800	gene	840	SIRT5			
CDNALJOL_00800	CDS	840	SIRT5	2.3.1.286		NAD-dependent protein deacylase sirtuin-5, mitochondrial
CDNALJOL_00801	gene	231				
CDNALJOL_00801	CDS	231				hypothetical protein
CDNALJOL_00802	gene	453	mhqP			
CDNALJOL_00802	CDS	453	mhqP	1.-.-.-	COG2259	Putative oxidoreductase MhqP
CDNALJOL_00803	gene	480				
CDNALJOL_00803	CDS	480				hypothetical protein
CDNALJOL_00804	gene	606	mtnB			
CDNALJOL_00804	CDS	606	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
CDNALJOL_00805	gene	651	mtnX			
CDNALJOL_00805	CDS	651	mtnX	3.1.3.87	COG4359	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
CDNALJOL_00806	gene	1170	mtnW			
CDNALJOL_00806	CDS	1170	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
CDNALJOL_00807	gene	561	mtnD			
CDNALJOL_00807	CDS	561	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
CDNALJOL_00808	gene	603	ahpC			
CDNALJOL_00808	CDS	603	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
CDNALJOL_00809	gene	1017	ccpA			
CDNALJOL_00809	CDS	1017	ccpA	1.11.1.5	COG1858	Cytochrome c551 peroxidase
CDNALJOL_00810	gene	468	perR			
CDNALJOL_00810	CDS	468	perR		COG0735	Peroxide-responsive repressor PerR
CDNALJOL_00811	gene	90				
CDNALJOL_00811	CDS	90				hypothetical protein
CDNALJOL_00812	gene	663	tmk_1			
CDNALJOL_00812	CDS	663	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
CDNALJOL_00813	gene	1032				
CDNALJOL_00813	CDS	1032				hypothetical protein
CDNALJOL_00814	gene	813				
CDNALJOL_00814	CDS	813				hypothetical protein
CDNALJOL_00815	gene	2022	metG			
CDNALJOL_00815	CDS	2022	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
CDNALJOL_00816	gene	792	dtd3			
CDNALJOL_00816	CDS	792	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
CDNALJOL_00817	gene	495				
CDNALJOL_00817	CDS	495				hypothetical protein
CDNALJOL_00818	gene	213				
CDNALJOL_00818	CDS	213				hypothetical protein
CDNALJOL_00819	gene	321				
CDNALJOL_00819	CDS	321				hypothetical protein
CDNALJOL_00820	gene	1431	yhdG			
CDNALJOL_00820	CDS	1431	yhdG		COG0531	putative amino acid permease YhdG
CDNALJOL_00821	gene	999				
CDNALJOL_00821	CDS	999				hypothetical protein
CDNALJOL_00822	gene	297				
CDNALJOL_00822	CDS	297				hypothetical protein
CDNALJOL_00823	gene	528				
CDNALJOL_00823	CDS	528				hypothetical protein
CDNALJOL_00824	gene	297				
CDNALJOL_00824	CDS	297				hypothetical protein
CDNALJOL_00825	gene	1296				
CDNALJOL_00825	CDS	1296				hypothetical protein
CDNALJOL_00826	gene	1956				
CDNALJOL_00826	CDS	1956				hypothetical protein
CDNALJOL_00827	gene	1359	yjlD			
CDNALJOL_00827	CDS	1359	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
CDNALJOL_00828	gene	1434				
CDNALJOL_00828	CDS	1434				hypothetical protein
CDNALJOL_00829	gene	183				
CDNALJOL_00829	CDS	183				hypothetical protein
CDNALJOL_00830	gene	633				
CDNALJOL_00830	CDS	633				hypothetical protein
CDNALJOL_00831	gene	1137	der			
CDNALJOL_00831	CDS	1137	der		COG1160	GTPase Der
CDNALJOL_00832	gene	783	ppsA_1			
CDNALJOL_00832	CDS	783	ppsA_1	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
CDNALJOL_00833	gene	1632	ppsA_2			
CDNALJOL_00833	CDS	1632	ppsA_2	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
CDNALJOL_00834	gene	969	norR_3			
CDNALJOL_00834	CDS	969	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
CDNALJOL_00835	gene	624				
CDNALJOL_00835	CDS	624				hypothetical protein
CDNALJOL_00836	gene	1347	argA			
CDNALJOL_00836	CDS	1347	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
CDNALJOL_00837	gene	1734				
CDNALJOL_00837	CDS	1734				hypothetical protein
CDNALJOL_00838	gene	1035	tam_1			
CDNALJOL_00838	CDS	1035	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
CDNALJOL_00839	gene	744				
CDNALJOL_00839	CDS	744		1.-.-.-	COG4221	putative oxidoreductase
CDNALJOL_00840	gene	1407	zwf1			
CDNALJOL_00840	CDS	1407	zwf1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 1
CDNALJOL_00841	gene	1020				
CDNALJOL_00841	CDS	1020		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
CDNALJOL_00842	gene	76				
CDNALJOL_00842	tRNA	76				tRNA-Ala(cgc)
CDNALJOL_00843	gene	624	purN			
CDNALJOL_00843	CDS	624	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
CDNALJOL_00844	gene	1053	purM			
CDNALJOL_00844	CDS	1053	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
CDNALJOL_00845	gene	1065				
CDNALJOL_00845	CDS	1065				hypothetical protein
CDNALJOL_00846	gene	1149				
CDNALJOL_00846	CDS	1149				hypothetical protein
CDNALJOL_00847	gene	756	rnc_1			
CDNALJOL_00847	CDS	756	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
CDNALJOL_00848	gene	1209	fabF			
CDNALJOL_00848	CDS	1209	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
CDNALJOL_00849	gene	231	acpP			
CDNALJOL_00849	CDS	231	acpP		COG0236	Acyl carrier protein
CDNALJOL_00850	gene	756	fabG			
CDNALJOL_00850	CDS	756	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
CDNALJOL_00851	gene	945	fabD			
CDNALJOL_00851	CDS	945	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
CDNALJOL_00852	gene	1026	fabH_1			
CDNALJOL_00852	CDS	1026	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
CDNALJOL_00853	gene	996	plsX			
CDNALJOL_00853	CDS	996	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
CDNALJOL_00854	gene	183	rpmF			
CDNALJOL_00854	CDS	183	rpmF		COG0333	50S ribosomal protein L32
CDNALJOL_00855	gene	495				
CDNALJOL_00855	CDS	495				hypothetical protein
CDNALJOL_00856	gene	1269	proS			
CDNALJOL_00856	CDS	1269	proS	6.1.1.15	COG0442	Proline--tRNA ligase
CDNALJOL_00857	gene	1134	ispG			
CDNALJOL_00857	CDS	1134	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
CDNALJOL_00858	gene	1065	mmpA			
CDNALJOL_00858	CDS	1065	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
CDNALJOL_00859	gene	1182	dxr			
CDNALJOL_00859	CDS	1182	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
CDNALJOL_00860	gene	864				
CDNALJOL_00860	CDS	864				hypothetical protein
CDNALJOL_00861	gene	801	ispU			
CDNALJOL_00861	CDS	801	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
CDNALJOL_00862	gene	1929				
CDNALJOL_00862	CDS	1929				hypothetical protein
CDNALJOL_00863	gene	1092	fhs_1			
CDNALJOL_00863	CDS	1092	fhs_1	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
CDNALJOL_00864	gene	621	fhs_2			
CDNALJOL_00864	CDS	621	fhs_2	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
CDNALJOL_00865	gene	174				
CDNALJOL_00865	CDS	174				hypothetical protein
CDNALJOL_00866	gene	279	uppP_1			
CDNALJOL_00866	CDS	279	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
CDNALJOL_00867	gene	303	uppP_2			
CDNALJOL_00867	CDS	303	uppP_2	3.6.1.27		Undecaprenyl-diphosphatase
CDNALJOL_00868	gene	759	tatC			
CDNALJOL_00868	CDS	759	tatC		COG0805	Sec-independent protein translocase protein TatC
CDNALJOL_00869	gene	300	tatB			
CDNALJOL_00869	CDS	300	tatB			Sec-independent protein translocase protein TatB
CDNALJOL_00870	gene	237				
CDNALJOL_00870	CDS	237				hypothetical protein
CDNALJOL_00871	gene	615				
CDNALJOL_00871	CDS	615				hypothetical protein
CDNALJOL_00872	gene	648				
CDNALJOL_00872	CDS	648				hypothetical protein
CDNALJOL_00873	gene	1386	radA			
CDNALJOL_00873	CDS	1386	radA	3.6.4.-	COG1066	DNA repair protein RadA
CDNALJOL_00874	gene	744				
CDNALJOL_00874	CDS	744				hypothetical protein
CDNALJOL_00875	gene	645				
CDNALJOL_00875	CDS	645				hypothetical protein
CDNALJOL_00876	gene	435	pmbA_1			
CDNALJOL_00876	CDS	435	pmbA_1	3.4.-.-	COG0312	Metalloprotease PmbA
CDNALJOL_00877	gene	927	pmbA_2			
CDNALJOL_00877	CDS	927	pmbA_2	3.4.-.-	COG0312	Metalloprotease PmbA
CDNALJOL_00878	gene	360	tldD_1			
CDNALJOL_00878	CDS	360	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
CDNALJOL_00879	gene	1101	tldD_2			
CDNALJOL_00879	CDS	1101	tldD_2	3.4.-.-	COG0312	Metalloprotease TldD
CDNALJOL_00880	gene	1059	amiE			
CDNALJOL_00880	CDS	1059	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
CDNALJOL_00881	gene	954				
CDNALJOL_00881	CDS	954				hypothetical protein
CDNALJOL_00882	gene	1476	hpnE			
CDNALJOL_00882	CDS	1476	hpnE	1.17.8.1	COG2907	Hydroxysqualene dehydroxylase
CDNALJOL_00883	gene	963				
CDNALJOL_00883	CDS	963				hypothetical protein
CDNALJOL_00884	gene	1398				
CDNALJOL_00884	CDS	1398				Iron-sulfur cluster carrier protein
CDNALJOL_00885	gene	270				
CDNALJOL_00885	CDS	270				hypothetical protein
CDNALJOL_00886	gene	960	ldcA			
CDNALJOL_00886	CDS	960	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
CDNALJOL_00887	gene	1611				
CDNALJOL_00887	CDS	1611				hypothetical protein
CDNALJOL_00888	gene	456				
CDNALJOL_00888	CDS	456				hypothetical protein
CDNALJOL_00889	gene	447				
CDNALJOL_00889	CDS	447				hypothetical protein
CDNALJOL_00890	gene	76				
CDNALJOL_00890	tRNA	76				tRNA-Glu(ctc)
CDNALJOL_00891	gene	693	gph_1			
